username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,nt_self_bail_loss_ratio,t_self_bail_loss_ratio,suspicion_score,reasons
alpbilginsoyy,4,2,0,2,1.178551,0.821449,1.434723,4,2,0,2,1.178551,0.821449,1.434723,0,0,0,0,0.000000,0.000000,0.000000,1.434723,0.000000,0.500000,0.500000,0.000000,0.500000,0.000000,0.000000,0.00,
amin_musayev_66,6,2,0,4,0.454434,0.671288,0.676958,2,2,0,0,0.454434,0.000000,454434057.060346,4,0,0,4,0.000000,0.671288,0.000000,454434057.060346,0.000000,0.000000,1.000000,0.000000,1.000000,0.250000,0.000000,0.00,
andy_w_aa,5,0,0,5,0.000000,1.790150,0.000000,4,0,0,4,0.000000,1.378440,0.000000,1,0,0,1,0.000000,0.411710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
astonmartin_lancestroll,26,9,0,17,3.871458,6.940008,0.557846,19,5,0,14,1.725460,6.530233,0.264226,7,4,0,3,2.145998,0.409775,5.237017,-4.972791,0.444444,0.444444,0.263158,0.571429,-0.308271,0.666667,0.000000,0.00,
benk102,1,0,0,1,0.000000,0.726830,0.000000,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,1,0.000000,0.726830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
bravenam,12,8,1,3,1.212327,1.911775,0.634137,3,2,1,0,0.264372,0.199769,1.323387,9,6,0,3,0.947955,1.712006,0.553710,0.769677,0.000000,0.750000,1.000000,0.666667,0.333333,0.666667,0.000000,0.00,
bready_panda,13,7,1,5,3.339454,1.949958,1.712578,4,4,0,0,2.670448,0.000000,2670447598.986777,9,3,1,5,0.669007,1.949958,0.343088,2670447598.643689,0.000000,0.571429,1.000000,0.375000,0.625000,0.600000,0.000000,0.00,
brother-of-magnus,2,2,0,0,0.892732,0.000000,892731723.358680,2,2,0,0,0.892732,0.000000,892731723.358680,0,0,0,0,0.000000,0.000000,0.000000,892731723.358680,0.500000,0.500000,1.000000,0.000000,1.000000,0.000000,0.000000,0.00,
checker_tk,17,7,0,10,1.159599,2.766776,0.419116,14,6,0,8,0.902135,2.150324,0.419534,3,1,0,2,0.257464,0.616452,0.417655,0.001879,0.428571,0.142857,0.428571,0.333333,0.095238,0.000000,0.125000,0.00,
chessamateur9988,2,0,0,2,0.000000,1.050296,0.000000,2,0,0,2,0.000000,1.050296,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
