username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,suspicion_score,reasons
munja44,326,164,20,142,57.329758,57.614444,0.995059,323,163,20,140,56.862810,56.360315,1.008916,3,1,0,2,0.466949,1.254130,0.372329,0.636587,0.079268,0.493902,0.537954,0.333333,0.204620,0.00,
nastalper,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
ninjaswat,1,0,0,1,0.000000,0.266366,0.000000,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,1,0.000000,0.266366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
ohnomy_knight,35,23,2,10,6.599953,5.255764,1.255755,34,22,2,10,6.454782,5.255764,1.228134,1,1,0,0,0.145171,0.000000,145170822.468240,-145170821.240106,0.304348,0.086957,0.687500,1.000000,-0.312500,0.00,
ol_dirty_bispo,3,3,0,0,0.915178,0.000000,915178155.324600,2,2,0,0,0.893648,0.000000,893647986.282890,1,1,0,0,0.021530,0.000000,21530169.041709,872117817.241181,0.000000,0.000000,1.000000,1.000000,0.000000,0.00,
robibenve,15,5,2,8,2.048278,2.974935,0.688512,8,2,1,5,1.359892,1.497386,0.908177,7,3,1,3,0.688386,1.477549,0.465897,0.442280,0.000000,0.600000,0.285714,0.500000,-0.214286,0.00,
rob_1986,14,7,1,6,4.312149,1.745002,2.471143,13,7,1,5,4.312149,1.480879,2.911884,1,0,0,1,0.000000,0.264123,0.000000,2.911884,0.571429,0.142857,0.583333,0.000000,0.583333,0.00,
rolinowsky1,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
soylionking,1,1,0,0,0.607661,0.000000,607661064.126820,0,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,0.607661,0.000000,607661064.126820,-607661064.126820,1.000000,0.000000,0.000000,1.000000,-1.000000,0.00,
stihl088,16,8,0,8,3.699680,1.496983,2.471425,7,4,0,3,2.437220,0.301009,8.096822,9,4,0,5,1.262460,1.195973,1.055592,7.041230,0.125000,0.250000,0.571429,0.444444,0.126984,0.00,
