username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,lifetime_win_rate,recent_games,recent_wins,recent_draws,recent_losses,recent_win_rate,active_win_streak,max_win_streak,upset_wins,short_win_rate,timeout_win_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_win_rate,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_win_rate,wr_gap,suspicion_score,reasons
robibenve,15,5,2,8,0.3846,15,5,2,8,0.3846,0,2,0,0,0.6,8,2,1,5,0.2857,7,3,1,3,0.5,-0.2143,0,
rolinowsky1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
smile33333,13,12,0,1,0.9231,13,12,0,1,0.9231,1,12,0,0.3333,0.3333,7,6,0,1,0.8571,6,6,0,0,1,-0.1429,0,
soylionking,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,-1,0,
stormbringer,26,7,1,18,0.28,26,7,1,18,0.28,0,3,0,0.4286,0.2857,13,2,0,11,0.1538,13,5,1,7,0.4167,-0.2628,0,
ultrakingpanda,4,2,0,2,0.5,4,2,0,2,0.5,5,5,0,0.5,0,0,0,0,0,0,4,2,0,2,0.5,-0.5,0,
yingjunguan,6,5,0,1,0.8333,6,5,0,1,0.8333,0,6,0,0,0.8,5,4,0,1,0.8,1,1,0,0,1,-0.2,0,
1-mezwinna-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1germanythailand,9,4,0,5,0.4444,9,4,0,5,0.4444,3,3,0,0.25,0,1,0,0,1,0,8,4,0,4,0.5,-0.5,0,
alpbilginsoyy,4,2,0,2,0.5,4,2,0,2,0.5,0,1,0,0,0.5,4,2,0,2,0.5,0,0,0,0,0,0.5,0,
amin_musayev_66,5,2,0,3,0.4,5,2,0,3,0.4,0,1,0,0,0,2,2,0,0,1,3,0,0,3,0,1,0,
andy_w_aa,5,0,0,5,0,5,0,0,5,0,0,0,0,0,0,4,0,0,4,0,1,0,0,1,0,0,0,
astonmartin_lancestroll,12,6,0,6,0.5,12,6,0,6,0.5,0,4,1,0.1667,0.3333,5,2,0,3,0.4,7,4,0,3,0.5714,-0.1714,0,
benk102,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
